AAB;Average At Best
PDT;Pacific Daylight Time
PE;Physical Education
PEAK;Humiliating
PEAR;Pear shaped, wrong
PEBCAC;Problem Exists Between Chair And Computer
PEBCAK;Problem Exists Between Chair And Keyboard
PEBKAC;Problem Exists Between Keyboard And Chair
PEDO;Paedophile
PEEN;Penis
PEEPS;People
PEEPZ;People
PEN;Penitentiary, jail, prison
PENDEJO;Idiot, fool
PENG;Good looking person
PEPS;People
PERF;Perfect
PERO;But
PERV;Pervert
PERVING;Flirting in a creepy way
PERVY;Perverted
PFA;Please Find Attached
PFB;Please Find Below
PFC;Private First Class
PFF;no way
PFFT;no way
PFM;Please Forgive Me
PFO;Please Fuck Off
PFT;An exlamation of disbelief
PG;Parental Guidance
PG-13;Parental Guidance if under 13
PGDA;Pretty Goddamn Awesome
PGP;Pretty Good Privacy
PH;Pantyhose
PHAIL;Fail
PHAT;Pretty Hot And Tempting
PHB;Pointy-Haired Boss
PHD;Doctor of Philosphy
PHEW;thank god
PHISHING;Scamming method used to get personal information
PHONY;Fake object or person
PHP;Personal Home Page
PHR33;Free
PHWOAR;sexy
PIA;Pain In The Ass
PIB;Pain In the Bum
PIC;Picture
PICNIC;Problem In Chair Not In Computer
PIF;Marijuana
PIFF;Purple weed
PIITB;Put It In The Butt
PIMA;Pain In My Ass
PIMP;Prostitute's manager
PIMPL;Pee In My Pants Laughing
PIR;Parent In Room
PITA;Pain In The Ass
PITB;Pain In The Butt
PITME;Peace In the Middle East
PITR;Parent In The Room
PIX;Pictures
PIZDA;Vagina
PJ;Personal Joke
PK;Player Kill
PKB;Pot, Kettle, Black
PKIT;Please Keep In Touch
PKMN;Pokemon
PKS;Painkillers
PL0X;Please
PLA;People's Liberation Army
PLC;Public Limited Company
PLEB;Commoner
PLH;Peace, Love and Happiness
PLI;Potential Love Interest
PLMK;Please Let Me Know
PLONKER;Idiot
PLOS;Parents Looking Over Shoulder
PLOX;Please
PLS;Please
PLU;People Like Us
PLUMBUM;Plumber's crack
PLUR;Peace, Love, Unity, and Respect
PLX;Please
PLZ;Please
PM;Private Message
PMA;Positive Mental Attitude
PMB;Private Message Box
PMBYMHMMFSWGAS;Pardon Me, But You Must Have Mistaken Me For Someone Who Gives A Shit
PMD;Put Me Down
PMF;Pardon My French
PMFJI;Pardon Me For Jumping In
PMIGBOM;Put Mind In Gear, Before Opening Mouth!
PMJI;Pardon My Jumping In
PML;Pissing Myself Laughing
PMO;Piss Me Off
PMPL;Peeing My Pants Laughing
PMS;Pre-Menstrual Syndrome
PMSL;Pissing myself laughing
PMT;Pre-Menstrual Tension
PMYMHMMFSWGAD;Pardon Me, You Must Have Mistaken Me For Someone Who Gives A Damn
PNG;Image file format
PNP;Party and Play
PNR;Passenger Name Record
PO;Pissed Off
PO'ED;Pissed Off
POA;Plan Of Action
POAS;home pregnancy test
POC;Piece Of Cake
POCKO;Pocket
POD;Passed Out Drunk
POES;Vagina
POETS;Piss Off Early Tomorrow's Saturday
POF;Plenty of Fish
POI;Point(s) Of Interest
POIDH;Pics Or It Didn't Happen
POKEY;Prison
POMG;Oh My God
PON;On
PONED;dominated
PONR;Point Of No Return
POOF;Homosexual
POONANI;Vagina
POP;Popular
POPO;Police Officer
POPPER;Amyl Nitrate
POPPERS;Amyl nitrate
POPPIN;Going on, happening
POPS;Father
POS;Piece Of Shit
POSS;Possibly
POT;Mariujana
POT HEAD;Person who smokes WEED
POTC;Pirates Of The Carribean
POTO;Phantom Of The Opera
POTS;Parents Over The Shoulder
POTUS;President of the United States
POTW;Patient of the Week
POV;Point Of View
POW;Prisioner of War
POWN;same as PWN
POZ;HIV positive
PP;Penis
PPB;Parts Per Billion
PPC;Pay Per Click
PPL;People
PPLE;People
PPLZ;Peoples
PPM;Parts Per Million
PPPW;Per Person, Per Week
PPS;Post-Post Script
PPT;Microsoft PowerPoint
PPU;Please Pick Up
PPV;Pay Per View
PR;Public Relations
PRANG;Scared
PRATT;Stupid person
PREGGERS;Pregnant
PREGGO;Pregnant
PREP;Prepare
PRI;Pretty
PRIT;Ugly
PRO;Professional
PROB;Probably
PROBS;Probably
PROBZ;Probably
PROC;Programmed Random Occurrence
PROLLY;Probably
PRON;Porn
PRONZ;Porn
PROPS;respect
PRW;Parents Are Watching
PRY;Probably
PS;PhotoShop
PS & QS;Pints and Quarts
PS/2;Computer port for keyboard or mouse
PS3;PlayStation 3
PSA;Publice Service Announcement
PSD;Photoshop Data file
PSE;Porn Star Experience
PSF;Porn Star Finish
PSH;Dismissive expression
PSHAW;no way
PSI;Pounds per Square Inch
PSM;Personal Short Message
PSML;Pissing Myself Laughing
PSN;Playstation Network
PSP;PlayStation Portable
PST;Please Send Tell
PSTN;Public Switched Telephone Network
PSU;Power Supply Unit
PSYCHED;Excited
PT;Physical Training
PTB;Please Text Back
PTDR;Pete De Rire
PTFO;Pass The Fuck Out
PTI;Pardon The Interruption
PTL;Praise The Lord
PTO;Paid Time Off
PTP;Pay To Play
PTSD;Post Traumatic Stress Disorder
PTW;Play To Win
PUA;Pick Up Artist
PUBES;Pubic hair
PUFF;Marijuana
PUG;Pick Up Group
PULA;Penis
PUMA;Woman who dates younger men
PUMPED;Exhilarated, fired up
PUNANI;Vagina
PURDY;Pretty
PUSSY;Vagina
PUTA;Prostitute
PV;Promotional Video
PVE;Player versus Environment
PVM;Player Versus Monster
PVP;Player v Player
PVT;Private
PW;Password
PWEASE;please
PWN;Own
PWND;owned
PWNED;dominated
PWNT;dominated
PWOR;Proceeding With Orders Recieved
PWP;Plot? What Plot?
PWT;Poor White Trash
PYP;Play Your Position
PYT;Pretty Young Thing
PZ;Peace
Q;Thank You
Q&A;Question and Answer
Q1;First Quarter
Q4U;Question For You
Q8;Kuwait
QA;Quality Assurance
QC;Quality Control
QED;Quod Erat Demonstrandum
QFE;Quoted For Emphasis
QFMFT;Quoted for Mother Fucking Truth
QFP;Quoted For Posterity
QFT ;Quoted For Truth
QL;Cool
QLD;Queensland
QOS;Quantum Of Solace
QOTD;Quote Of The Day
QOTSA;Queens Of The Stone Age
QP;Quarter Pound
QQ4U;Quick Question For You
QSL;Confirmed
QT;Cutie
QTF;Quoted For Truth
QTPI;Cutie Pie
QTY;Quantity
QUACK;Doctor
QUE;What?
QUEAF;Vaginal fart
QUEEF;Vaginal fart
QUEER;homosexual
QUICKIE;Quick sex act
QUIM;Vagina
QWERTYUIOP;Bored
QYB;Quit Your Bitching
R;Are
R&D;Research and Development
R&R;Rest and Relaxation
RA;Red Alert
RACHET;Crazy
RACK;Breasts
RAD;Radical, cool
RAF;Rough As Fuck
RAFL;rolling on floor laughing
RAGO;Whatever, OK
RAH;Pompous or superior person
RAK;Random Act of Kindness
RAM;Random Access Memory
RANGA;Redhead
RAR;File compression type
RAS;Remote Access Server
RATM;Rage Against the Machine
RAWDOG;Without a condom
RAWK;Rock
RAZZ;Make fun of
RB;Random Boner
RBAU;Right Back At You
RBAY;Right Back At You
RBG;Revolutionary But Gangsta
RBS;Random Boner Syndrome
RC;Random Chat
RCG;Reverse Cowgirl
RCH;A very small unit of measurement
RCT;Roller Coster Tycoon
RDJ;Robert Downey Jr.
RDM;Random Death Match
RDR;Red Dead Redemption
RDRR;ha ha
RE;Regarding
RE-GIFT;Pass an unwanted gift on to someone else
REDONCULOUS;Ridiculous
REF;Refugee
REGS;Regular
REL;Relative
RELLIES;Relatives
REMF;Rear Echelon Mother Fucker
RENOB;Boner backwards
RENTS;Parents
REP;Reputation
RESH;Depressing
RESTECPA;Respect
RETRO;Old fashioned style
REV;Make an engine go faster
REZ;Indian reservation
RFC;Request For Comment
RFI;Request For Information
RFN;Right Fucking Now
RFP;Request for Proposal
RFT;Right First Time
RFYL;Run For Your Life
RGDS;Regards
RGR;Roger
RH;Road Head
RHCP;Red Hot Chili Peppers
RHIP;Rank Has Its Privileges
RIB;Make fun of
RICK ROLL;Trick someone with a link to Rick Astley video
RIFRAF;Common people
RINO;Republican In Name Only
RIP;Rest In Peace
RITE;Right
RKBA;Right to Keep and Bear Arms
RL;Real Life
RLF;Real Life Friend
RLY;Really
RMA;Return Merchandise Authorization
RMAO;Rolling My Ass Off
RME;Rolling My Eyes
RMFT;Roll Mother Fucking Tide
RMR;Remember
RMT;Real-Money Trading
RMV;Results May Vary
RN;Right Now
RNA;Ribonucleic Acid
RNB;Rhythm And Blues
RNG;Random Number Generator
RNR;Rock 'N Roll
RO;Ragnarok Online
ROAR;Right Of Admission Reserved
ROCKIN;Awesome
ROD;Penis, erection
ROE;Rules Of Engagement
ROF;Rate Of Fire
ROFC;Rolling On Floor Crying
ROFL;Rolling On Floor Laughing
ROFLCOPTER;Rolling on floor laughing
ROFLMAO;Rolling On Floor, Laughing My Ass Off
ROFLMBO;Rolling On the Floor Laughing My Butt Off
ROFLOL;Rolling On Floor, lol
ROFTL;Misspelling of ROTFL
ROG;Really Old Git
ROGER;OK, understood
ROI;Return on Investment
ROLF;Rolling On Laughing Floor
ROLLA;Promiscuous female
ROLLIN;High on drugs
ROOFIE;date-rape drug
ROR;Raughing out Roud
ROSES;Money
ROTC;Reserve Officer Training Corps
ROTF;Rolling On The Floor
ROTFFNAR;Rolling On The Floor For No Apparent Reason
ROTFL;Rolling On The Floor Laughing
ROTFLMAO;Rolling On The Floor Laughing My Ass Off
ROTFLMFAO;Rolling On The Floor Laughing My Fucking Ass Off
ROTFLOL;Rolling On The Floor lol
ROTGL;Rolling On The Ground Laughing
ROTK;Return of the King
ROTM;Run Of The Mill
ROW;Rest Of the World
ROX;Rocks
ROXOR;Rocks
ROXORZ;Rocks
ROY;Relative of yours?
RP;Role Play
RPC;Role Playing Chat
RPF;Real Person Fiction
RPG;Role Playing Game
RQ;Random Questions
RR;Restroom
RRD;Rick Rolled
RRP;Recommended Retail Price
RS;RuneScape, a MMORPG
RSI;Repetitive Strain Injury
RSN;Real Soon Now
RSRSRS;lol
RSVP;Repondez s'il vous plait
RT;Retweet
RTE;National broadcaster in Ireland
RTF;return the favour
RTFA;Read the Fucking Article
RTFAQ;Read The FAQ
RTFF;Read The Fucking FAQ
RTFI;Read The Flipping Instructions
RTFM;Read The Flipping Manual
RTFQ;Read The Fucking Question
RTG;Ready To Go
RTHX;Thank you for the Retweet
RTM;Read The Manual
RTO;Radio Telephone Operator
RTR;Roll Tide Roll
RTS;Real Time Strategy
RTV;Rock The Vote
RTW;Ready To Wear
RU;Are You?
RUA;Are You Alone?
RUDEBOY;Gangster
RUFKM;Are You Fucking Kidding Me
RUKM;Are You Kidding Me?
RUMBLE;Brawl, fight
RUNNER;Loose woman
RUO;Weak
RUOK;Are You OK?
RUS;Are You Serious?
RUT;Are You There
RV;Recreational Vehicle
RVB;Red Versus Blue
RVR;Realm Versus Realm
RWL;Roaring With Laughter
RWNJ;Right Wing Nut Job
RWYS;Reap What You Sow
RX;Prescription
RYC;Regarding Your Comment
RYN;Regarding Your Note
S&D;Search and Destroy
S&M;Sadism and Masochism
S&P;Salt and Pepper
S/B;Should Be
S/N;Serial Number
S/O;Shout Out
S/T;Self Titled
S2;Love
S2G;Swear To God
S2R;Send To Receive
S2S;Sorry To Say
S2U;Same To You
S4S;Support For Support
SA;Sibling Alert
SAB;Smoking A Blunt
SAF;Single Asian Female
SAFM;Stay Away From Me
SAG;Wear trousers low around the waist
SAHM;Stay At Home Mom
SALA;Idiot, moron
SALAM;Peace
SALUT;Hi
SAM;Stop Annoying Me
SAMEFAG;Person with multiple aliases on forums
SANGA;Sandwich
SANK;Something
SANS;Without
SARCY;Sarcastic
SARGE;Chat up
SAS;Special Air Service
SATC;Sex And The City
SAUCE;source
SAUCED;Drunk
SB;Somebody
SBD;Silent But Deadly
SBF;Single Black Female
SBI;Surrounded By Incompetence
SBM;Single Black Male
SBS;Step By Step
SBT;Sorry 'Bout That
SBW;Slut Bitch Whore
SC;StarCraft
SCAT;Sexual practices involving shit
SCH;School
SCHEMIE;Someone from a councili estate
SCHLONG;Penis
SCNR;Sorry, Could Not Resist
SCO;San Fransisco
SCOFF;Eat fast
SCORE;Get laid
SCOTUS;Supreme Court Of The United States
SCOUSER;Person from Liverpool
SCRAM;Go away
SCREB;Dirty person
SCRILLA;Money
SCRIM;Practice game
SCRUB;Loser
SD;Sweet Dreams
SDFU;Shut the Fuck Up
SDK;Software Development Kit
SDS;Small Dick Syndrome
SE;Special Edition
SEC;Second
SED;Said
SEKKLE;Calm down
SEO;Search Engine Optimization
SEP;Somebody Else's Problem
SES;Marijuana
SESH;Session
SETE;Smiling Ear To Ear
SEXPOT;Sexy Person
SEXTING;Sending sexually explicit texts
SEXWEE;Semen
SF;Science Fiction
SFA;Sweet Fuck All
SFAM;Sister From Another Mister
SFB;So Fucking Bored
SFF;So Fucking Funny
SFLR;Sorry For Late Reply
SFM;So Fucking Much
SFS;Sexual Frustration Syndrome
SFSG;So Far So Good
SFTBC;Sorry For The Broadcast
SFU;So Fucked Up
SFW;Safe For Work
SFX;Sound Effects
SG2M;Sounds Good To Me
SGTM;Sounds Good To Me
SGWM;Single Gay White Male
SH;Same Here
SHADDAP;Shut up
SHADES;Sunglasses
SHADY;sly
SHAFT;rip off
SHAG;Have sex
SHANK;Homemade knife
SHAWN;Attractive man
SHAWTY;Young woman
SHE-MALE;Person with a penis and breasts
SHEILA;Woman
SHEMALE;Woman with a penis
SHERM;Cigarette dipped in PCP
SHH;Be quiet
SHIM;Transvestite
SHIOK;hurrah
SHITE;Shit
SHIZ;Shit
SHIZZ;Shit
SHIZZLE;Sure
SHK;Should Have Known
SHLORT;Short penis
SHM;Simple Harmonic Motion
SHMILY;See How Much I Love You
SHO;Sure
SHONE;Slut
SHOOP;Photoshop
SHOTTA;gangster
SHTF;Shit Hits The Fan
SHU;Secure Housing Unit
SHUBZ;House party
SHUCKS;I'm disappointed
SHUG;Sugar
SHURUP;Shut Up
SHUSH;be quiet
SHUX;Shucks
SHWE;Should We
SI;Stop It
SIA;Sorry I Asked
SIAP;Sorry If Already Posted
SIAS;Say It Ain't So
SIC;Latin sicut
SICS;Sitting In Chair Snickering
SID;LSD
SIDK;Sorry, I Didn't Know
SIF;As If
SIFS;Secret Internet Fatties
SIG;Signature
SIKED;excited about
SIL;Son-In-Law
SILF;Sister I'd Like to Fuck
SIO;Bye
SIP;YEP
SIS;Sister
SITD;Still In The Dark
SITREP;Situation Report
SIUYA;Shove It Up Your Ass
SIW;Someone Is Watching
SJ;Society of Jesus
SK8;Skate
SK8R;Skater
SKANK;Slut
SKANKIN;Form of dancing
SKANKY;cheap
SKEED;High
SKEEN;I See
SKEET;Ejaculate after withdrawal
SKEEZER;Slut
SKENG;Knife
SKET;promiscuous woman
SKETCH;dubious
SKETCHY;dubious
SKETCHBALL;Person involved with sex, drugs and alcohol
SKEWL;School
SKIDADDLE;Go away
SKL;School
SKOOL;School
SKU;Stock Keeping Unit
SKUX;A guy who's good with women
SKYPE;Internet telephone
SL;So Lame
SLA;Service Level Agreement
SLAG;A promiscuous woman
SLAPPER;slut
SLF;Sounds Like Fun
SLFN;So Long For Now
SLICK;cool
SLM;Salaam
SLOL;Seriously lol
SLOSHED;Drunk
SLR;Single Lens Reflex
SLT;hello
SLUB;Slutty bitch
SLY;Still Love You
SMACK;Heroin
SMAD;Sad and mad
SMB;Suck My Balls
SMBD;Sado-Masochism Bondage and Discipline
SMC;Suck My Cock
SMD;Suck My Dick
SMDH;Shaking My Damn Head
SMDHE;Some Mothers Do Have Em
SME;Small/Medium Enterprises
SMEXI;Smart and Sexy
SMEXY;Smart and sexy
SMF;Sick Mother Fucker
SMFH;Shaking My Fucking Head
SMFT;So Much For That
SMG;Sub-Machine Gun
SMH;Shaking My Head
SMHID;Shaking My Head In Despair
SMIDSY;Sorry Mate, I Didn't See You
SML;Screw My Life
SMMFH;Shaking My Mother Fucking Head
SMOOCH;Kiss
SMOOSH;Hug
SMT;Sucking My Teeth
SMTH;Something
SMUSH;Have sex
SMUT;Sexual art
SMYB;Show Me Your Boobs
SN;Screen Name
SN1;Spare No One
SNAFU;Situation Normal, All Fouled Up
SNAG;Sensitive New Age Guy
SNC;Social Network Check
SNF;So Not Funny
SNIDE;Fake medicine
SNIFF;Cocaine
SNL;Sex Now or Leave
SNM;Say No More
SNOG;Kiss
SNR;Signal To Noise Ratio
SNSD;Sho Nyo Shi Dae
SNYK;So Now You Know
SOA;State Of Alert
SOAB;Son Of A Bitch
SOAD;System Of A Down
SOB;Son Of a Bitch
SOCOM;Special Operations Command
SOD;Fool
SOE;Sony Online Entertainment
SOF;Soldier Of Fortune
SOG;Sea Of Green
SOH;Sense Of Humor
SOHF;Sense Of Humor Failure
SOI;Statement of Intent
SOIDH;Screenshot Or It Didn't Happen
SOK;That's OK
SOL;Shit Outta Luck
SOMF;Sit On My Face
SOML;Story Of My Life
SOMSW;Someone Over My Shoulder Watching
SON;Close Friend
SOO;So
SOOC;Straight Out Of Camera
SOOD;Cool
SOOL;Shit Out Of Luck
SOOTB;Straight Out Of The Box
SOP;Standard Operating Procedure
SORTA;Sort of
SOSDD;Same Old Shit, Different Day
SOTA;State Of The Art
SOTD;Song Of The Day
SOW;Female police officer
SOX;Socks
SOZ;Sorry
SP;South Park
SP2;Serive Pack 2
SPAT;Fight
SPAZ;Spastic
SPECTRE;Special Executive for Counter-intelligence, Terrorism, Revenge, and Extortion
SPED;Someone who needs special education
SPEXY;Sexy with glasses
SPF;Strictly Platonic Friend
SPIM;Instant Messaging SPAM
SPITAL;Hospital
SPLIF;A cigarette of tobacco and cannibis
SPLIFF;A cigarette of tobacco and cannibis
SPM;South Park Mexican 
SPN;Supernatural
SPOC;Single Point of Contact
SPOON;Cuddle
SPOT;Lend money
SPRUNG;in love
SPST;Same Place, Same Time
SPUN;Under the influence of methamphetamine
SQTM;Smiling Quietly To Myself
SRH;Supporting Radical Habits
SRO;Standing Room Only
SRS;Serious
SRSLY;Seriously
SRY;Sorry
SS;Screen Shot
SSA;Subject Says All
SSBB;Super Smash Brothers Brawl
SSBBW;Super Sized Big Beautiful Woman
SSC;Safe, Sane, Consensual
SSD;Solid State Drive
SSDD;Same Stuff Different Day
SSL;See Subject Line
SSS;Shit, Shower, Shave
SSWA;So Say We All
ST00F;Stuff
STA;Surveillance and Target Acquisition
STAN;Stalker Fan
STAT;Immediately
STATS;Statistics
STB;Soon To Be
STBE;Soon To Be Ex
STBY;Sucks To Be You
STC;Subject to Change
STD;Sexually Transmitted Disease
STEEZ;Style with ease
STEEZE;Style with ease
STELLA;Flirty girl
STEXT;Sexy text message
STF;Shut The Fuck
STFD;Sit The Fuck Down
STFG;Search The Fucking Google
STFO;Stay The Fuck Out
STFU;Shut The Fuck Up
STFUB;Shut The Fuck Up, Bitch
STFW;Search the Fucking Web
STG;Swear To God
STH;Something
STHG;Something
STHU;Shut The Hell Up
STI;Sexually Transmitted Infection
STK;Shoot To Kill
STM;Short Term Memory
STML;Short Term Memory Loss
STOKED;Excited
STR;Strength
STR8;Straight
STSP;Same Time Same Place
STUB;Small penis
STUD;Guy who gets the girls
STUFU;Shut The Fuck Up
STW;Search The Web
STY;Same To You
STYL;Speak To You Later
SU;Shut Up
SUB;Submissive person in BDSM
SUFI;Super Finger
SUKA;Bitch
SUL;See You Later
SULA;Sweaty Upper Lip Alert
SUM;Some
SUM1;Someone
SUMFIN;Something
SUMMAT;Something
SUP;What's Up
SUS;Suspect, suspicious
SUSFU;Situation Unchanged, Still Fucked Up
SUX;Sucks
SVS;Someone Very Special
SW;Star Wars
SWACK;Fuck
SWAG;Scientific Wild Assed Guess
SWAGG ;Style
SWAGGA;Style
SWAGGER;style
SWAK;Sealed With A Kiss
SWALK;Sealed With A Loving Kiss
SWAMBO;She Who Always Must Be Obeyed
SWANK;classy
SWED;Smoke Weed Every Day
SWEXY;Sweet and sexy
SWF;Single White Female
SWIY;Someone Who Isn't You
SWIZ;rip-off
SWIZZLE;Sweet
SWK;Star Wars Kid
SWM;Single White Male
SWMBO;She Who Must Be Obeyed
SWND ;Sound
SWOL;muscular
SWOLE;Muscular
SWOT;Person who is always studying
SWPF;Single White Professional Female
SWT;Sweet
SWY;Sorry
SXC;Sexy
SXE;Straightedge
SY;Sincerely Yours
SYA;See You
SYAU;Shut Your Ass Up
SYF;Shut Your Face
SYFM;Shut your Fucking Mouth
SYG;Shut Your Gob
SYITM;See You In The Morning
SYK;So You Know
SYL;See You Later
SYM;Shut Your Mouth
SYNC;Synchronize
SYOTOS;See You On The Other Side
SYRS;See You Real Soon
SYS;See Ya Soon
SYSOP;System Operator
SYT;See You Tomorrow
SYTYCD;So You Think You Can Dance
SYWISY;See You When I See You
S^;What's Up
T&A;Tits and Ass
T2M;Talk To Me
T2UL;Talk To You Later
T2YL;Talk To You Later
T4M;Transvestite looking for a man
T4P;Thanks For Posting
T4T;Tit For Tat
TA;Thank you
TAB;LSD
TAD;Small amount
TADA;it's finished
TAE;Trial And Error
TAF;Tell A Friend
TAFN;That's All For Now
TAGL;There's a good lad
TAHT;That
TAI;Think About It
TAL;Thanks A Lot
TANJ;There Ain't No Justice
TANK;Large person, heavily built
TANSTAAFL;There Ain't No Such Thing as a Free Lunch
TAP;Have sex
TAR;Not very pure heroin
TARD;Retarded person
TARDIS;Time And Relative Dimentions In Space
TARFU;Things Are Really Fouled Up
TART;SLUT
TAS;Thick As Shit
TAT;Tattoo
TATA;Goodbye
TATAS;Large breasts
TATO;Alright
TATT;Tattoo
TAW;Teachers Are Watching
TAY;Thinking About You
TB;Text Back
TBA;To Be Announced
TBC;To Be Continued
TBCH;To Be Completely Honest
TBD;To Be Decided
TBE;To be Edited
TBF;To Be Fair
TBFU;Too Bad For You
TBH;To Be Honest
TBM;Tactical Boyfriend Mention
TBNT;Thanks, But No Thanks
TBQH;To Be Quite Honest
TBSS;Too Bad, So Sad
TBT;Truth Be Told
TBTP;That's Beside The Point
TBU;To Be Updated
TBW;Tiny Brained Wiper
TBX;To Be Exact
TC;Take Care
TCB;Taking Care of Business
TCBY;The Country's Best Yogurt
TCCIC;Take Care 'Cause I Care
TCFN;Take Care For Now
TCG;Trading Card Game
TCK;Third Culture Kid
TCL;Tool Command Language
TCOB;Taking Care of Buisness
TD;Touchdown
TDDUP;Til Death Do Us Part
TDDWP;Til Death Do We Part
TDF;To Die For
TDG;Too Damn Good
TDH;Tall, Dark, and Handsome
TDL;To Do List
TDM;Team DeathMatch
TDS;Technical Dificulties
TDTM;Talk Dirty To Me
TDWP;The Devil Wears Prada
TE AMO;I love You
TEE;T-shirt
TEEF;Steal
TEH;The
TEHO;To Each His/Her Own
TEK;Tek-9 machine pistol
TEKKERS;Technique
TEME;Bastard
TEOTWAWKI;The End Of The World As We Know It
TEVS;Whatever
TF;The Fuck
TF2;Team Fortress 2
TFA;Thanks For Asking
TFB;Too Fucking Bad
TFBS;That's Fucking Bull Shit
TFF;Too Fucking Funny
TFFS;That's For Fucking Sure
TFFW;Too Funny For Words
TFIF;Thank Fuck It's Friday
TFL;Tip For Life
TFLMK;Thanks For Letting Me Know
TFLMS;Thanks For Letting Me Share
TFLN;Texts From Last Night
TFM;Total Frat Move
TFM2KAU2FO;That's For Me to Know And You To Find Out
TFN;Till Further Notice
TFS;Thanks For Sharing
TFT;The Frozen Throne
TFTA;Thanks For The Add
TFTC;Thanks For The (Geo)Cache
TFTI;Thanks For The Info
TFW;The Fuck What?
TG;Thank God
TGAL;Think Globally, Act Locally
TGI;Thank God It's ...
TGIAF;Thank God It's Almost Friday
TGIF;Thank God It's Friday
TGIM;Thank God It's Monday
TGOD;Taylor Gang Or Die
TGP;Thumbnail Gallery Post
TGTBT;Too Good To Be True
THA;The
THANG;Thing
THANQ ;Thank You
THANX;Thanks
THC;Tetrahydrocannabinol
THIZZ;Ecstasy
THIZZING;Tripping on Ecstasy
THIZZLE;Esctasy tablet
THN;Then
THNX;Thanks
THO;Though
THOU;You
THRU;Through
THT ;That
THTH;To Hot to Handle
THUG;Violent criminal
THURR;There
THWU;To Hell With You
THX;Thanks
TI;Rapper from Atlanta
TI AMO;I Love You (Italian)
TIA;Thanks In Advance
TIBS;This Is Bull Shit
TIC;Tongue in Cheek
TIE;Take It Easy
TIEM;Time
TIF;That Is Funny
TIFF;Argument, disagreement
TIFS;This Is Fucking Stupid
TIIC;The Idiots In Charge
TIL;Until
TILF;Teacher I'd Like To Fuck
TINA;Crystal Meth
TINALO;This Is Not A Legal Opinion
TINAR;This Is Not A Recommendation
TING;Thing
TINWIS;That Is Not What I Said
TIPSY;Slightly drunk
TIS;It Is
TISH;Shit
TISNF;That is so not fair
TITCH;Small person
TITCR;This Is The Credited Response
TITF;Take It Too Far
TIX;Tickets
TJA;Hi
TK;Team Killer
TKD;Taekwondo
TKM;Te Quiero Mucho
TKO;Technical Knock Out
TKS;Thanks
TKT;Don't worry
TL;Talk Later
TLA;Three Letter Acronym
TLC;Tender Loving Care
TLD;Top Level Domain
TLDNR;"Too Long; Did Not Read"
TLDR;"Too long; Didn't Read"
TLGO;The List Goes On
TLI;Too Little Information
TLK;Talk
TLND;True Love Never Dies
TLOL;Truly lol
TM;Text Message
TMA;Take My Advice
TMAI;Tell Me About It
TMAO;Text My Ass off
TMB;Text Me Back
TMD;Damn in Chinese
TME;Too Much Effort
TMF;Too Much Forehead
TMFD;Too Much Fucking Drama
TMFI;Too Much Fucking Information
TMI;Too Much Information
TMK;To My Knowledge
TML;Thank Me Later
TMM;Tell Me More
TMO;Tomorrow
TMP;Tactical Machine Pistol
TMR;Tomorrow
TMRW;Tomorrow
TMS;Too Much Swag(ger)
TMTC;Too Many To Count
TMTH;Too Much To Handle
TMTOWTDI;There's More Than One Way To Do It
TMW;Tomorrow
TMY;Tell Me Why
TMZ;Celebrity news
TNA;Total Nonstop Action
TNBM;True Norwegian Black Metal
TNF;That's Not Funny
TNL;To Next Level
TNO;Trust No One
TNOT;Take Note Of That
TNSTAAFL;There's No Such Thing As A Free Lunch
TNT;Til Next Time
TNTM;That's News To Me
TNX;Thanks
TO BOOT;As well, also
TOASTIE;Toasted sandwich
TOC;Table Of Contents
TOD;Time Of Death
TOFTT;Take One For The Team
TOGTFO;Tits Or Get The Fuck Out
TOH;The Other Half
TOKE;Inhale marijuana smoke
TOL;Thinking Out Loud
TOM;Time Of Month
TOMBOUT;Talking About
TOMO;Tomorrow
TOMOZ;Tomorrow
TON;One hundred
TONG;Asian gangster
TONK;Strong, muscular
TOOC;Totally Out Of Control
TOODLE;Goodbye
TOODLES;Goodbye
TOON;Online character in RPG
TOOT;Fart
TOOTSIES;Toes
TOPS;Wonderful
TOS;Terms Of Service
TOT;Small child
TOTE;Carry
TOTES;Totally
TOTM;Time Of The Month
TOTS;Totally
TOTT;Think on These Things
TOTUS;Teleprompter Of The United States
TOTZ;Totally
TOUCHE;good point
TOY;Thinking Of You
TP;Toilet Paper
TPAM;The Person Above Me
TPE;Total Power Exchange
TPS;Totally pointless stuff
TPT;Trailer Park Trash
TPTB;The Powers That Be
TQ;Thank You
TQM;Te Quiero Mucho
TR00;TRUE
TRA;Bye
TRAMP;Homeless person
TRANNY;Transexual
TRANS;Transexual
TRAP;Convincing transvestite
TRB;Totally Random BONER
TRDMC;Tears Running Down My Cheeks
TRDMF;Tears Running Down My Face
TREE;Marijuana
TRIPPING;Under the influence of drugs
TRM;That Reminds Me
TROL;Police patrol
TROTW;The Rest Of The World
TROUT;Older man looking for a younger woman
TRU;TRUE
TRU DAT;That is True, I agree
TRUFAX;True Fact
TRUMP;Fart
TRYNA;Trying To
TS;Transsexual
TSA;Transportation Security Administration
TSFY;Tough Shit For You
TSHTF;The Shit Hits The Fan
TSIA;Title Says It All
TSK;Sound of annoyance
TSM;Thanks So Much
TSS;This Shit Sucks
TSTL;Too Stupid To Live
